,ID,DEPT,GR,RD,DTP,DEN,PE,WQFM,WCARB,WCLAY,WPYR,WQFM_pre,WCARB_pre,WCLAY_pre,WPYR_pre
989,28289,2997.8,155.6722,9.9275,256.2077,2503.0215,5.4393,0.7553,0.0315,0.1858,0.0275,0.6604021892420187,0.034695270866332395,0.225113617961015,0.07978892193063393
990,28289,2998.0,163.2772,11.1141,257.806,2515.7981,6.0024,0.7318,0.04,0.1968,0.0314,0.6646050390963928,0.03522498979725097,0.21625269731789182,0.08391727378846446
991,28289,2998.2,167.0152,11.8213,259.3244,2559.9712,6.0611,0.6967,0.0525,0.2164,0.0344,0.612520081377673,0.0435138567253467,0.26653362910564876,0.07743243279133147
992,28289,2998.4,152.4916,12.5125,261.055,2598.2693,6.0192,0.6589,0.0524,0.2521,0.0367,0.5723520202058132,0.06986660539899156,0.2855135282585049,0.07226784613669031
993,28289,2998.6,133.1597,13.4051,263.7502,2612.5037,6.0126,0.6213,0.0431,0.2947,0.0409,0.5743133742231039,0.05296194770845228,0.2824113009552552,0.0903133771131886
994,28289,2998.8,132.9903,13.9757,264.5602,2620.3037,5.9757,0.5985,0.0376,0.316,0.0475,0.5464813521794402,0.08393993297313627,0.288829605416649,0.08074910943077455
995,28289,2999.0,149.4058,14.3074,264.4752,2619.4387,5.9644,0.5997,0.0442,0.3046,0.0515,0.5502076903200933,0.08532289109166544,0.31106119940502047,0.05340821918322076
996,28289,2999.2,168.1972,14.6557,263.2555,2613.5588,6.1489,0.6516,0.0569,0.2453,0.0461,0.5213465521144528,0.06946598092054714,0.3211920009846518,0.08799546598034824
997,28289,2999.4,176.1672,15.0519,264.2327,2597.125,6.4685,0.704,0.0624,0.1976,0.0361,0.51368290202321,0.06350945111324453,0.3216185002570122,0.10118914660653332
998,28289,2999.6,167.2153,15.2847,262.1063,2575.771,6.4998,0.7457,0.062,0.1676,0.0248,0.5358131039195173,0.060443994145496414,0.30726151539504853,0.09648138653993774
999,28289,2999.8,153.2233,15.4553,261.068,2536.1917,6.134,0.7715,0.0555,0.1537,0.0193,0.6398114258394635,0.044264247728723206,0.23912740902915663,0.07679691740265668
1000,28289,3000.0,142.5472,14.8157,260.8004,2479.4834,5.8044,0.7803,0.0462,0.153,0.0204,0.6721922356374015,0.0322574894409118,0.21996983084689173,0.07558044407479494
1001,28289,3000.2,136.7766,15.6075,260.8076,2450.3599,5.7991,0.7827,0.0385,0.1541,0.0246,0.6453729494008109,0.03557981889958602,0.23522947129733113,0.08381776040227192
1002,28289,3000.4,143.7213,17.063,262.644,2456.3525,5.7855,0.7902,0.0306,0.1508,0.0285,0.6392549306304541,0.03246068165439868,0.24548571209673375,0.08279867561841339
1003,28289,3000.6,177.5281,18.7664,264.4151,2466.9807,5.6438,0.7815,0.0238,0.1636,0.0311,0.6587977759168688,0.031355882724741733,0.2263079576023636,0.08353838375602586
1004,28289,3000.8,210.1458,21.776,264.337,2473.3252,5.6921,0.7536,0.0297,0.1856,0.031,0.618470410624864,0.032611210770508284,0.26906407174335994,0.07985430686126783
1005,28289,3001.0,218.833,22.0871,262.9624,2493.7708,5.9487,0.7101,0.0472,0.2148,0.0281,0.5696476005483859,0.03885623848628436,0.304043443645621,0.08745271731970866
1006,28289,3001.2,203.5307,21.6338,259.7507,2516.0737,6.1548,0.6518,0.0813,0.243,0.0239,0.5601173761072444,0.039549863133943285,0.3092294747408748,0.09110328601793752
1007,28289,3001.4,181.5934,20.4043,257.9376,2538.1633,6.0044,0.6348,0.1063,0.2368,0.0191,0.6296798775220583,0.03385175951796839,0.2581230194351273,0.078345343524846
1008,28289,3001.6,158.8337,19.5324,254.9281,2545.7659,5.8203,0.6576,0.1123,0.2139,0.0163,0.6415219510542786,0.037544124714828556,0.2449972293480752,0.07593669488281773
1009,28289,3001.8,138.1195,19.6046,255.0092,2525.7646,5.9399,0.682,0.1043,0.1974,0.0163,0.6684623452059447,0.0342713039486139,0.21274098397027966,0.08452536687516168
1010,28289,3002.0,119.759,21.7524,255.1831,2518.5388,6.3652,0.6923,0.0948,0.1956,0.0174,0.666463857099248,0.033485525499247236,0.2195767756520786,0.08047384174942608
1011,28289,3002.2,112.0269,26.3641,255.9416,2527.6831,6.4848,0.7014,0.0831,0.1944,0.021,0.6585841632719895,0.03657197727722248,0.22056011008657447,0.08428374936421355
1012,28289,3002.4,113.0658,31.4941,257.2819,2520.1309,6.0062,0.7064,0.0749,0.192,0.0267,0.656707694157971,0.03534969009249284,0.2278998815804001,0.08004273416913608
1013,28289,3002.6,124.2383,36.1902,255.5401,2505.6157,5.1807,0.7165,0.0692,0.1846,0.0295,0.6666420306279793,0.029434838527130018,0.23195090230883098,0.07197222853605971
1014,28289,3002.8,145.8879,37.7862,253.6581,2473.0088,4.6128,0.7239,0.0767,0.1692,0.0302,0.706251327375859,0.03253011654944218,0.18694582451970598,0.07427273155499277
1015,28289,3003.0,161.3881,37.1127,241.9982,2459.918,4.5505,0.6892,0.1243,0.1588,0.0276,0.7239360816261504,0.03869746553535626,0.17851146460431058,0.058854988234182753
1016,28289,3003.2,157.7579,37.0636,235.5674,2515.2239,4.7558,0.6037,0.2308,0.1437,0.0218,0.6887016132487799,0.046885524099657114,0.1965210843511921,0.06789177830037092
1017,28289,3003.4,124.2481,36.5468,231.1254,2594.7437,4.9331,0.5053,0.3583,0.1204,0.016,0.6340660437981456,0.0760712352410447,0.2337822409796514,0.056080479981158296
1018,28289,3003.6,80.4705,36.511,226.4469,2641.1343,5.0252,0.4543,0.4291,0.1033,0.0133,0.45746679891671965,0.28124894527474026,0.225824320592601,0.03545993521593912
1019,28289,3003.8,53.9622,30.8487,225.1429,2630.6282,4.9118,0.4943,0.4042,0.0877,0.0137,0.39758860930375417,0.3016349315145097,0.26202178939731424,0.03875466978442187
1020,28289,3004.0,79.6585,26.6645,226.9685,2585.2405,4.562,0.6157,0.2881,0.0813,0.0149,0.6036964001351074,0.14635543163237952,0.21105462854552018,0.03889353968699294
1021,28289,3004.2,114.014,23.99,231.3373,2545.2358,4.2355,0.7412,0.1601,0.0838,0.0149,0.7063443078487931,0.04608286909037921,0.20322749176569316,0.044345331295134474
1022,28289,3004.4,126.1522,26.0947,237.8849,2535.0237,4.0276,0.8138,0.0785,0.094,0.0137,0.701406621640545,0.04445176606111564,0.21662780975648888,0.03751380254185048
