,ID,DEPT,GR,RD,DTP,DEN,PE,WQFM,WCARB,WCLAY,WPYR
110,110,2122,173.062,3.893,283.1537,2689.5974,4.4685,0.3893,0.0643,0.5464,0
111,111,2122.2,171.618,3.9966,283.8581,2686.2783,4.4871,0.3651,0.0664,0.5513,0.0172
112,112,2122.4,173.8931,4.1118,284.3085,2689.9751,4.472,0.4007,0.0366,0.5497,0.0129
113,113,2122.6,168.5956,4.2828,283.2895,2698.5232,4.4302,0.4594,0.0148,0.5241,0.0018
114,114,2122.8,163.8677,4.3492,282.0684,2694.9685,4.4359,0.4505,0.0149,0.5239,0.0107
115,115,2123,162.7647,4.4856,277.676,2686.5137,4.4655,0.3933,0.0732,0.5176,0.0159
116,116,2123.2,168.2404,4.6478,270.5659,2692.6206,4.4584,0.3675,0.1128,0.5044,0.0154
117,117,2123.4,173.1924,4.5971,265.269,2697.8696,4.487,0.3647,0.0747,0.5462,0.0144
118,118,2123.6,165.0231,5.2556,263.975,2698.5305,4.5404,0.3833,0.0524,0.5574,0.0068
119,119,2123.8,165.8803,5.3278,262.5518,2702.8918,4.5561,0.3969,0.0925,0.5104,0.0002
120,120,2124,172.0551,5.3081,263.3917,2707.9111,4.5362,0.3825,0.114,0.5035,0.0001
121,121,2124.2,176.7089,5.5014,256.4101,2708.428,4.5187,0.3468,0.0564,0.5775,0.0194
122,122,2124.4,177.184,5.6404,250.1437,2702.1392,4.5429,0.3291,0.0028,0.6289,0.0392
123,123,2124.6,169.698,5.5841,246.2191,2702.781,4.5416,0.3295,0.0077,0.6256,0.0373
124,124,2124.8,158.6547,6.0994,253.1899,2712.8086,4.4771,0.4072,0.0375,0.537,0.0184
125,125,2125,157.8385,6.0956,261.584,2710.2661,4.4736,0.4575,0.0296,0.5111,0.0018
126,126,2125.2,157.9233,6.4504,270.0717,2699.8743,4.513,0.4385,0.0269,0.5346,0
127,127,2125.4,158.7785,6.1737,273.928,2698.8335,4.4973,0.3915,0.0263,0.5822,0
128,128,2125.6,166.3009,4.6762,276.6907,2701.0415,4.4783,0.3545,0.0324,0.6132,0
